intent,remark
130.2,With a partner read the text again and see if you can find the answer.
130.2,Work in small groups to compare your answers.
130.3,"So, they wouldn't exactly be using their tanks and their masks to find the water on the moon."
130.3,That's just part of their work uniform and protective clothing.
130.3,"In the first sentence, it actually says that NASA sent a small machine called a lunar orbiter to investigate."
130.3,"So, to make our answer better, we could say NASA sent a small machine called a lunar orbiter."
130.3,Discover is when we find it.
130.3,"So, do you understand how we could improve your answer."
130.3,"Well, if we look back in the number three it says, that means that the moon is still drier than the driest desert on Earth."
130.3,The water they found is microscopic.
130.3,So the water is very small.
130.3,"But I do think based on paragraph five, whenever it talks about using the oxygen in the hydrogen and breaking it up to use it for a different things."
140.1,You went to NASA.
140.1,How was that.
140.1,That's really good.
140.1,"Well, it sounds exciting."
140.1,Did you enjoy yourself and NASA.
140.1,So what do you know about space.
140.1,Did you like using the microscope in science class.
140.1,Now we're not scientist and we're not astronauts and there's some things that we do know.
140.1,So what's an equipment you have right now.
140.1,Thats helping you with your work.
150.1,That make sense.
150.1,Does anyone else have questions.
150.1,You guys see that.
150.1,Does that make a little bit more sense.
150.1,Is there anything else I can do to clear this up for you guys.
150.1,Can you give me a thumbs up if you agree.
150.1,A thumbs in the middle.
150.1,"If you're not quite sure, or thumbs down if you disagree."
150.1,What else do you think.
150.1,"If teacher says okay at the end of her statement as a way to check for understand, please split it and give that line its own code."
150.1,So then that is why sometimes when we're looking at questions we got to be really careful because sometimes they'll try to trick you.
150.1,"Right, it can be a little confusing if you don't read over it carefully."
150.1,Huh.
150.1,"Okay, well, we're just going to work on making sure we have the best answer for the question."
150.1,"That's you feel like you know everything that there is to know about space, but there is always more that we can learn and maybe by listening to our friend's answer is we can learn even more."
150.1,You might find something that you didn't know.
150.1,"Yeah, well, we always have a good background knowledge of space."
150.1,And that's really cool that you're interested in it.
150.1,The small group purpose is to dig a little deeper and get a better understanding of the texts that we're reading.
150.1,There are a couple other of your friends that are needing a little bit help with the guidance of where to find their answers.
210.1,"Well, it's expensive to send people to the moon all of the time."
210.1,"So, sometimes NASA sends machines to do the exploring in space."
210.1,Part of the reason scientists are so interested in finding water on other planets is because we living things need water to survive.
210.1,"If we can find water on other planets, it could mean that life, like plants or animals, once lived there."
210.1,It could even mean that humans have a chance of surviving there.
210.2,"Yeah, that's a good point that you do need oxygen tanks whenever you're in outer space."
210.2,So the question is asking us what type of equipment that the scientists used to discover the water on the moon.
210.2,So what type of equipment did they have to have in order-- if it was there to find water.
210.2,"What equipment did scientists use to discover water on the moon."""
210.2,That would be your question.
210.2,"So, was the question I asked you, what did they used to look at it, or what do they use to find it."
210.2,"So, we need to find the equipment that they used."
210.2,Do you know what the word convincing means.
210.2,"Equipment and tools, the equipment is another word for a tool."
210.2,"So, when we have something that's the same word for a tool, we would call it a synonym."
210.2,"So, they're synonyms of each other."
210.2,Is there anybody who wants to share the answer with us.
210.2,"What is, what does the word equipment mean."
210.2,"So, we are looking for the one that was used to discover, or to find."
210.2,"So, can you think of, can you see another equipment that was mentioned in the passage, apart from the microscope."
210.2,We're trying to discover it.
210.2,So you have to find the water before you can look at it right.
210.2,Does anyone know what discover means.
210.3,"Remember, that NASA can't always send astronauts to space and may need to send machines sometimes."
210.3,What else could you have put in your answer
210.3,But a small machine--that could be anything.
210.3,Couldn't it.
210.3,So I see that we have.
210.3,"So I see we have our answers are a microscope, A small machine, and then we have some other equipment."
210.3,Which answer makes the most sense as to what would be found on the moon.
210.3,Do they have oxygen on the moon outside of what's in the water.
210.3,It's hard for me to know what you meant.
210.3,Did you find any evidence when you were looking to answer that different question.
210.4,"As it says in paragraph two, the machine was called a lunar orbiter."
210.4,"So a scientific tool called the microscope can be used to look at the water, but not for the scientists to actually discover water on the moon."
210.4,This paragraph tells us that the moon is drier than a desert.
210.4,That means that there's even less water on the moon than on deserts on Earth.
210.4,"The text states that the deposits are microscopic, which tells us that the ice is so small you can't see it without special equipment like a microscope."
210.4,"So, can you go down to paragraph six and paragraph six."
210.4,It talks about maybe the amount of time that it would take and kind of like what it would look like before we were able to get water on the moon or from the moon.
210.4,Let's look back in the text and see if we can find the answer to our question.
210.4,"Okay, that's what polar craters mean."
210.4,"Polar means the poles, the North and the South."
210.4,So what is the main idea of this section.
210.4,"What is, for informational texts, what is the main idea."
210.4,What is the target they want you to know.
210.4,Do we think that people were actually on the moon at that time.
210.4,Or did they just send that machine called the lunar Lunar Orbiter.
210.4,So where did they find the water.
210.4,"Okay, so where were they finding this water."
210.4,Why do you think a scientist would need a microscope to see the water.
210.4,And we were looking at paragraph two moments ago to specifically answer that question.
210.4,So what was the name of the small machine that NASA sent to investigate.
210.4,What word that starts with an 'O' lunar what.
210.4,So do you think the Lunar Orbiter was able to see the ice deposits or how do you think the lunar orbiter was able to find the ice deposits.
210.4,"Yes, that is what they sent."
210.4,And what did they investigate when they got there.
210.4,"Um, so does anybody remember what the name of that machine was called."
210.4,Do you remember the name.
210.4,"Well, let's think about it this way, could you look very closely at the water molecules without the microscope."
210.4,And what did that first paragraph tell us.
210.4,Can someone paraphrase that paragraph for me.
210.4,"Let's go back to paragraph two, once more."
210.4,It does say NASA sent a small machine called a lunar orbiter to investigate.
210.4,What do you think the word investigate means.
210.4,If you're going to investigate something what-- what do you think.
210.4,Do you think that the moon is wet.
210.4,Or did the text say that the moon is very dry.
210.4,Can you find the paragraph where the microscope is used.
210.4,"Um, so,can you give me another of equipment, maybe something from that article that we just read that you know that NASA is using in space."
210.4,And I noticed you said that NASA sent a small machine.
210.4,Can you look back in the text and recall what was the name of that small machine that NASA sent.
210.4,Can you find any other kinds of equipment in the text.
210.4,It's like -have you all seen frost in the wintertime or in the fall.
210.4,Have you seen frost on your mom's car windows or the grass.
210.4,Frost is a thin layer of ice - imagine particles similar to bits of frost.
210.4,So the Lunar Orbiter found tiny ice deposits in craters on the moon.
220.1,We're just talking about how we found the answers and what we can use to help us find answers when we when we have questions like this
220.1,Today we're going to think through how to use the text when we're responding to questions like this one - we can't just rely on our background knowledge.
230.1,"So, you say a small machine."
230.1,What specific small machine do you think you were talking about there.
230.1,Why did you mention oxygen tanks.
230.1,Why do you say that.
230.1,Can you tell me more.
230.1,And how did you gather that information.
230.1,You mentioned a scientist likes to use a lot of equipment.
230.1,How did you know that water's heavy.
230.1,"So, you know, just like your answer said, and it said, water can be split into two parts hydrogen and oxygen."
230.1,Is that something that your dad needs a lot of as an astronaut.
230.1,Okay so water being able to be split into two parts.
230.1,Do you think that that is part of what makes it valuable to NASA and people maybe like your father.
230.2,Where in the text did you see that.
230.2,What did you read in the text that led you to that answer.
230.2,What paragraph did you look at to find your answer.
230.2,"Did you find that in paragraph two, the one we just read."
230.2,And what makes you think that way.
230.2,"Based on our passage, what makes you think that the evidence is not convincing."
230.3,"So, you're saying that the microscope discovered water on the moon."
230.3,"Do you think that the microscope was the tool that was used to discover water on the moon, but you say it was the small machine."
230.3,Am I understanding this correctly.
230.3,"Okay, you and her both agree that it was the microscope."
230.3,"So what I'm hearing is, there were craters full of water on the moon."
230.3,"Did you tell me that our plants need water to survive, is that correct."
230.3,"Now, him, and her you guys mentioned that during our discussion that the technology might not be ready for that yet but however there are some possibilities that we can use water."
230.3,Going back to your first statement so transporting it would be something that we would have to do.
230.3,Also you pointed out that it would take them a while to make that plan.
230.3,Going back to your first statement so transporting it would be something that we would have to do.
310.1,"I love that you cited where you found it in the text, paragraph 2."
310.1,I like how he was able to tell me exactly where she found her answer and student1 and student2 that's more of what I would be looking for when you try to respond.
310.1,"Again, I like how she's very specific."
310.1,You used the passage that we provided to find your answer.
310.1,"She didn't just use her background knowledge, she made sure to go back and find something in the text."
310.1,You used your background knowledge about buried treasures to answer my question
310.1,And I like how you told me specific things from the paragraph to help support your answer.
310.1,The question is actually a good question
310.1,I see how you got to that answer.
310.1,I see what you're thinking!
300,I heard you thinking in intellectually careful ways today.
300,You checked for errors and looked for evidence.
300,You just identified the main idea by this point
300,You just showed us how to use context clues.
420,"You are interpreting the question to mean that scientists went to the moon with equipment, but the question is only asking what equipment was used to discover water on the moon."
420,"But for this one, the answer wasn't quite there because we needed to focus more on that equipment than what the equipment was finding."
410.2,"Well, you didn't say the type of equipment that they used to discover water, you said that they sent a small machine and they did send a small machine, but there's a certain type of equipment that they use to find the water."
410.3,"True, scientists found ice deposits, but there is a piece missing."
410.3,The text does not say that the ice deposits were large.
420.1,I want you to tell me what the key words are in the question because these keywords are going to be the focus of your reading.
420.1,Find the verb or action word in the question and underline the action word
420.2,"So, by saying the name of the machine instead of saying a 'small machine' you allow whoever reads that response to know exactly what you're talking about."
420.2,"So, please add in the name of the machine to your response."
420.2,"So, it's always very important to read everything in the question and text before answering the question."
420.2,"So, when it says equipment in the question, what we want to do is to find the equipment that was mentioned in the passage."
420.2,We'll start with either a strong either yes or no and then like you did just now will back it up with some evidence.
420.2,What's something you can do when you're answering besides just saying no.
420.3,"To use context clues, you look at the text around a word or phrase to understand what that word or phrase means."
420.3,"Okay, I would like you to look back over the passage, and I would like for you to underline where the word scientists appear and what they're using to find the water."
420.3,"So, let's see what sort of equipment we see mentioned specifically in paragraph two."
420.3,"Look at paragraph two, to see if there was a special machine that they brought to investigate the water on the moon."
420.3,Now let's go a little further back on our texts and see if we can maybe go a little deeper into how they originally discovered it.
430.1,"You successfully identified a type of equipment from the passage, but your answer does not match one of the key words in the question which is 'discover.'"
430.1,"By looking for words in the text similar to discover, such as 'investigate,' you could find a better answer that suits the whole question instead of just part of it."
430.1,"I am concerned that the question is asking - ""What equipment"" -so, I would expect to hear the name of the equipment that scientists used to discover water on the moon in your response."
430.1,I would recommend rereading the text looking for the specific name of the equipment used to discover or find the water.
430.1,Can you tell me what you heard was my concern with your current response and suggestion for your next step.
430.2,But that was not enough for that question.
430.2,"They sent a small machine, but you have to look for a better word to answer that question."
430.2,"And NASA sent out a small machine, but we need to be specific."
430.2,I would love it if you could tell me a little bit more about what that machine is.
430.2,"I'm looking for the specific name and it starts with the letter L, if that's helpful."
430.2,You can look back in your reading for that.
430.2,"But if I was only reading the answers to this specific question, I might not have the context and know that So by saying lunar orbiter instead of a small machine you allow whoever reads that response to know exactly what you're talking about."
430.2,"You just gave that to me verbally, but as far as your actual response to the question where you just told me about how it can be split into hydrogen and oxygen."
430.2,But we can put it on text in the response.
430.3,"To find what that tool was, let's go back to the text."
430.3,Then read what it says about how scientists used that equipment.
430.3,Let's outline the sequence of events described in this text.
400,A good strategy to help you find the best answer for comprehension questions is to look for the subject and the actions in the text that have the same meaning as those in the question.
400,Let's try that by looking for synonyms for an action word - discover.
400,"So, next time you have to answer a question that requires information from the text, please remember to make sure you understand the question first before you start trying to find an answer."
500,Can you remember a moment when your thinking was intellectually careful.
520.1,Do you feel like you could try this strategy next time you encounter a tricky question like this.
500,"Next time you have a similar question, what would you do first."
520.1,If you are not sure what the question is asking or if you want to check your understanding of the question - then what can you do.
520.1,To make sure that you understand a text - what can you do.
520.1,"Okay, so from reading the text today and using our tools by going back and rereading the text circling important information, how can this broaden your understanding in the future of any topic that we discuss whether it's space or farming."
530.1,What do you know now that you did not know when we started talking together.
530.1,What's something new that you've learned today about how to answer a text-based question like this one.
530.1,How could you sum-up three actions that you took to improve your response.
530.1,What are the qualities of a high quality response to a question that is specifically asking about information that is in a text.
500,What steps did you take to improve your answer.
500,What did you notice about how your answer changed.
500,"We are going to do another activity, how will you use this process to respond to that prompt."
500,"Next time we do this, what are three things you will do differently."
500,"Can you use this sentence frame: When i first answered I said this, to get to this answer I said that."
500,What do you need to do next time you get a question like this.
500,What are you taking away from this experience.
500,What is something you discovered about yourself.
500,What is something you discovered about how you learn.
500,Can you describe the process we went through to get to your complete response.
500,"If you could do this activity again, what would you do differently."
500,"We talked about a lot, how would you describe this learning process in one or two sentences."
999,Stop
